PassengerId	Survived	Pclass	Sex	Age	SibSp	Parch	Fare	Cabin	Embarked
1	0	3	male	22.0	1	0	7.25		S
2	1	1	female	38.0	1	0	71.2833	C85	C
3	1	3	female	26.0	0	0	7.925		S
4	1	1	female	35.0	1	0	53.1	C123	S
5	0	3	male	35.0	0	0	8.05		S
6	0	3	male		0	0	8.4583		Q
7	0	1	male	54.0	0	0	51.8625	E46	S
8	0	3	male	2.0	3	1	21.075		S
9	1	3	female	27.0	0	2	11.1333		S
10	1	2	female	14.0	1	0	30.0708		C
11	1	3	female	4.0	1	1	16.7	G6	S
12	1	1	female	58.0	0	0	26.55	C103	S
13	0	3	male	20.0	0	0	8.05		S
14	0	3	male	39.0	1	5	31.275		S
15	0	3	female	14.0	0	0	7.8542		S
16	1	2	female	55.0	0	0	16.0		S
17	0	3	male	2.0	4	1	29.125		Q
18	1	2	male		0	0	13.0		S
19	0	3	female	31.0	1	0	18.0		S
20	1	3	female		0	0	7.225		C
